[ 6584402ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[ 6584417ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=FetV6vAzy-5uNpdeCcrLf' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6585419ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=FetV6vAzy-5uNpdeCcrLf' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6586428ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=FetV6vAzy-5uNpdeCcrLf' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6587430ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=FetV6vAzy-5uNpdeCcrLf' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6588433ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=FetV6vAzy-5uNpdeCcrLf' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6589441ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=FetV6vAzy-5uNpdeCcrLf' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6594450ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=FetV6vAzy-5uNpdeCcrLf' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6599729ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=FetV6vAzy-5uNpdeCcrLf' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6604773ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=FetV6vAzy-5uNpdeCcrLf' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6609819ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=FetV6vAzy-5uNpdeCcrLf' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
